2016-04-28 22:38:35,892 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\main\resources
2016-04-28 22:38:35,892 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:38:35,908 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\test\resources
2016-04-28 22:38:36,684 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersySpingRestApiEmbededJetty:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\workspace\OrderManagment\pom.xml.
2016-04-28 22:38:36,982 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:38:36,986 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\main\resources
2016-04-28 22:38:36,986 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:38:37,002 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\test\resources
2016-04-28 22:39:06,045 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.rama:orderManagement:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\workspace\OrderManagment\pom.xml.
2016-04-28 22:39:06,147 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:39:06,147 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\main\resources
2016-04-28 22:39:06,147 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:39:06,162 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\test\resources
2016-04-28 22:39:06,162 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of OrderManagment
2016-04-28 22:39:06,162 [Worker-2] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for OrderManagment
2016-04-28 22:39:06,162 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:39:16,871 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.im:orderManagement:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\workspace\OrderManagment\pom.xml.
2016-04-28 22:39:16,965 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:39:16,981 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\main\resources
2016-04-28 22:39:16,981 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:39:16,981 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\workspace\OrderManagment\src\test\resources
